node1,node2,Layer
OMA01915,OMA01822,Regulatory
OMA03616,OMA01822,Regulatory
OMA03748,OMA01822,PPI
OMA03748,OMA01822,PPI
OMA01189,OMA01541,Metabolic
OMA01906,OMA01541,Regulatory
OMA01915,OMA01541,Regulatory
OMA03616,OMA01541,Regulatory
OMA01906,OMA01753,Regulatory
OMA01915,OMA01753,Regulatory
OMA03616,OMA01753,Regulatory
OMA01753,OMA01753,PPI
OMA03197,OMA01904,Regulatory
OMA03233,OMA01904,Regulatory
OMA01904,OMA01904,PPI
OMA01904,OMA01904,PPI
OMA02541,OMA01904,PPI
OMA01904,OMA01904,PPI
OMA03236,OMA01874,Metabolic
OMA03236,OMA03141,Metabolic
OMA03236,OMA03534,Metabolic
OMA00689,OMA03236,PPI
OMA03236,OMA03236,PPI
OMA03236,OMA03534,Metabolic
OMA03534,OMA01874,Metabolic
OMA03534,OMA03141,Metabolic
OMA03141,OMA01874,Metabolic
OMA03236,OMA03141,Metabolic
OMA03534,OMA03141,Metabolic
OMA03141,OMA03141,PPI
OMA04295,OMA01635,Regulatory
OMA01635,OMA01635,PPI
OMA01570,OMA01079,Metabolic
OMA02190,OMA01570,Metabolic
OMA02619,OMA01570,Metabolic
OMA02969,OMA01570,Metabolic
OMA02190,OMA01079,Metabolic
OMA02190,OMA01570,Metabolic
OMA02619,OMA02190,Metabolic
OMA02969,OMA02190,Metabolic
OMA03577,OMA00161,PPI
OMA03657,OMA00161,PPI
OMA03577,OMA00161,PPI
OMA03657,OMA00161,PPI
OMA02723,OMA03577,Regulatory
OMA02954,OMA03577,Regulatory
OMA03598,OMA03577,Regulatory
OMA05327,OMA03577,Regulatory
OMA03577,OMA00161,PPI
OMA03577,OMA00161,PPI
OMA02723,OMA02579,Regulatory
OMA02954,OMA02579,Regulatory
OMA03598,OMA02579,Regulatory
OMA05327,OMA02579,Regulatory
OMA05719,OMA02427,PPI
OMA02427,OMA05719,PPI
OMA02723,OMA00217,Regulatory
OMA03240,OMA00217,Regulatory
OMA03598,OMA00217,Regulatory
OMA03616,OMA00217,Regulatory
OMA00217,OMA01289,PPI
OMA00308,OMA00217,PPI
OMA00881,OMA00217,PPI
OMA01322,OMA00217,PPI
OMA03028,OMA00217,PPI
OMA04430,OMA00217,PPI
OMA04661,OMA00217,PPI
OMA04860,OMA00217,PPI
OMA00217,OMA00754,PPI
OMA00217,OMA00881,PPI
OMA00217,OMA04860,PPI
OMA00308,OMA00217,PPI
OMA01289,OMA00217,PPI
OMA01322,OMA00217,PPI
OMA02985,OMA00217,PPI
OMA03028,OMA00217,PPI
OMA03590,OMA00217,PPI
OMA03788,OMA00217,PPI
OMA04430,OMA00217,PPI
OMA04661,OMA00217,PPI
OMA05252,OMA00217,PPI
OMA00217,OMA00217,PPI
OMA00197,OMA01451,Metabolic
OMA01451,OMA02270,Metabolic
OMA02007,OMA01451,Metabolic
OMA03568,OMA01451,Regulatory
OMA01451,OMA01451,PPI
OMA01451,OMA01451,PPI
OMA01331,OMA01331,PPI
OMA00515,OMA00020,Metabolic
OMA02821,OMA00020,Metabolic
OMA00020,OMA00020,PPI
OMA05868,OMA00020,PPI
OMA00020,OMA00020,PPI
OMA05868,OMA00020,PPI
OMA00020,OMA00020,PPI
OMA00732,OMA01444,Metabolic
OMA00732,OMA01797,Metabolic
OMA00732,OMA01964,Metabolic
OMA02630,OMA00874,Metabolic
OMA02889,OMA00874,Metabolic
OMA05597,OMA00874,Metabolic
OMA00874,OMA01374,PPI
OMA00874,OMA01374,PPI
OMA01374,OMA00874,PPI
OMA04246,OMA00874,PPI
OMA01809,OMA01583,Metabolic
OMA01809,OMA02619,Metabolic
OMA01809,OMA02969,Metabolic
OMA01809,OMA01809,PPI
OMA01809,OMA02969,Metabolic
OMA02969,OMA01079,Metabolic
OMA02969,OMA01570,Metabolic
OMA02969,OMA01583,Metabolic
OMA02969,OMA02190,Metabolic
OMA02969,OMA02619,Metabolic
OMA03047,OMA02969,Regulatory
OMA02969,OMA01042,PPI
OMA01042,OMA02969,PPI
OMA01809,OMA02619,Metabolic
OMA02619,OMA01079,Metabolic
OMA02619,OMA01570,Metabolic
OMA02619,OMA01583,Metabolic
OMA02619,OMA02190,Metabolic
OMA02969,OMA02619,Metabolic
OMA01809,OMA01583,Metabolic
OMA02619,OMA01583,Metabolic
OMA02969,OMA01583,Metabolic
OMA01103,OMA01274,Metabolic
OMA00542,OMA01274,Regulatory
OMA02167,OMA01274,Regulatory
OMA00461,OMA01274,PPI
OMA01274,OMA00461,PPI
OMA01274,OMA01274,PPI
OMA01946,OMA02025,Metabolic
OMA02025,OMA00409,Metabolic
OMA02205,OMA02025,Metabolic
OMA03197,OMA02025,Regulatory
OMA00308,OMA02025,PPI
OMA01747,OMA02025,PPI
OMA02010,OMA02025,PPI
OMA02025,OMA00016,PPI
